module_code,module_name,coordinator,year,semester,category,skill_name,level
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Pipetting,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Risk Assessments,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Sample Preparation and Handling,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Soil Quality Assessment,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,lab,Water Quality Assessment,0
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Adaptability,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Verbal Communication,3
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Written Communication,3
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Conflict Resolution,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Critical Thinking,3
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Detail-Orientated Skills,3
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Innovation,3
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Integrated Problem-solving,3
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Interpersonal Skills,3
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Leadership,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Reliability,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Resourcefulness,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Self-awareness,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Self-motivation,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Teamwork & Collaboration,2
BIOU6PE,Plant Ecology,Zarah Pattison,3,6,personal,Time Management,2
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,AI (generative) Competency,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Computer Programming,0
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Data Management,2
ENVU9FC,International Field Course,Zarah Pattison,3,6,computational,Effective Email Communication,1
