"module_code","category","skill_name","level"
"ENVU5S5","personal","Conflict Resolution","2"
"ENVU5S5","personal","Critical Thinking","3"
"ENVU5S5","personal","Detail-Orientated Skills","2"
"ENVU5S5","personal","Innovation","2"
"ENVU5S5","personal","Integrated Problem-solving","2"
"ENVU5S5","personal","Interpersonal Skills","1"
"ENVU5S5","personal","Leadership","1"
"ENVU5S5","personal","Reliability","1"
"ENVU5S5","personal","Resourcefulness","1"
"ENVU5S5","personal","Self-awareness","1"
"ENVU5S5","personal","Self-motivation","2"
"ENVU5S5","personal","Teamwork & Collaboration","3"
"ENVU5S5","personal","Time Management","2"
"ENVU9WM","computational","AI (generative) Competency","0"
"ENVU9WM","computational","Computer Programming","0"
"ENVU9WM","computational","Data Management","0"
"ENVU9WM","computational","Effective Email Communication","0"
"ENVU9WM","computational","Geographical Information Systems (GIS)","0"
"ENVU9WM","computational","Graphic Design","1"
"ENVU9WM","computational","Modelling","1"
"ENVU9WM","computational","Presentation Software","0"
"ENVU9WM","computational","Remote Meeting/Collaborative Software","0"
"ENVU9WM","computational","Remote Sensing (data collection and analysis)","0"
"ENVU9WM","computational","Social Media","0"
"ENVU9WM","computational","Spreadsheet Creation and Management","0"
"ENVU9WM","computational","Statistical Programmes","0"
"ENVU9WM","computational","Word Processing","0"
"ENVU9WM","field","Application of Remote Observations","0"
"ENVU9WM","field","Conducting Transects","0"
"ENVU9WM","field","Core Skills","0"
"ENVU9WM","field","Drone Observations","0"
"ENVU9WM","field","Environmental Impact Assessment","0"
"ENVU9WM","field","GPS Usage","0"
"ENVU9WM","field","Health and Safety Competency","0"
"ENVU9WM","field","Mapping Skills","0"
"ENVU9WM","field","Sampling: In-situ Monitoring","1"
"ENVU9WM","field","Sampling: Physical Collection","0"
"ENVU9WM","field","Species Monitoring","0"
"ENVU9WM","lab","Accurate Result Reporting","0"
"ENVU9WM","lab","Air Quality Analysis","0"
"ENVU9WM","lab","Chemical Handling","0"
"ENVU9WM","lab","Developing and Implementing SOPs","0"
"ENVU9WM","lab","Good Laboratory Practices (GLP)","0"
"ENVU9WM","lab","Maintaining Lab Notebooks","0"
"ENVU9WM","lab","Microscopy","0"
"ENVU9WM","lab","Operating Lab Equipment","0"
"ENVU9WM","lab","Physical Chemical Analysis","0"
"ENVU9WM","lab","Pipetting","0"
"ENVU9WM","lab","Risk Assessments","0"
"ENVU9WM","lab","Sample Preparation and Handling","0"
"ENVU9WM","lab","Soil Quality Assessment","1"
"ENVU9WM","lab","Water Quality Assessment","1"
"ENVU9WM","personal","Adaptability","1"
"ENVU9WM","personal","Verbal Communication","0"
"ENVU9WM","personal","Written Communication","3"
"ENVU9WM","personal","Conflict Resolution","2"
"ENVU9WM","personal","Critical Thinking","3"
"ENVU9WM","personal","Detail-Orientated Skills","2"
"ENVU9WM","personal","Innovation","2"
"ENVU9WM","personal","Integrated Problem-solving","2"
"ENVU9WM","personal","Interpersonal Skills","2"
"ENVU9WM","personal","Leadership","0"
"ENVU9WM","personal","Reliability","2"
"ENVU9WM","personal","Resourcefulness","1"
"ENVU9WM","personal","Self-awareness","0"
"ENVU9WM","personal","Self-motivation","3"
"ENVU9WM","personal","Teamwork & Collaboration","0"
"ENVU9WM","personal","Time Management","3"
"GEOU2GE","computational","AI (generative) Competency","0"
"GEOU2GE","computational","Computer Programming","0"
"GEOU2GE","computational","Data Management","2"
"GEOU2GE","computational","Effective Email Communication","0"
"GEOU2GE","computational","Geographical Information Systems (GIS)","0"
"GEOU2GE","computational","Graphic Design","2"
"GEOU2GE","computational","Modelling","0"
"GEOU2GE","computational","Presentation Software","0"
"GEOU2GE","computational","Remote Meeting/Collaborative Software","0"
"GEOU2GE","computational","Remote Sensing (data collection and analysis)","0"
"GEOU2GE","computational","Social Media","0"
"GEOU2GE","computational","Spreadsheet Creation and Management","2"
"GEOU2GE","computational","Statistical Programmes","0"
"GEOU2GE","computational","Word Processing","2"
"GEOU2GE","field","Application of Remote Observations","0"
"GEOU2GE","field","Conducting Transects","0"
"GEOU2GE","field","Core Skills","1"
"GEOU2GE","field","Drone Observations","0"
"GEOU2GE","field","Environmental Impact Assessment","0"
"GEOU2GE","field","GPS Usage","0"
"GEOU2GE","field","Health and Safety Competency","0"
"GEOU2GE","field","Mapping Skills","0"
"GEOU2GE","field","Sampling: In-situ Monitoring","1"
"GEOU2GE","field","Sampling: Physical Collection","0"
"GEOU2GE","field","Species Monitoring","0"
"GEOU2GE","lab","Accurate Result Reporting","0"
"GEOU2GE","lab","Air Quality Analysis","1"
"GEOU2GE","lab","Chemical Handling","0"
"GEOU2GE","lab","Developing and Implementing SOPs","0"
"GEOU2GE","lab","Good Laboratory Practices (GLP)","0"
"GEOU2GE","lab","Maintaining Lab Notebooks","0"
