programme,degree,pathway,competency,module_code,module_name,year,semester,level,status
Biology - Biodiversity and Sustainability,Biology,Biodiversity and Sustainability,Systems Thinking,ENVU9BC,Biodiversity Conservation and Management,3,Spring,0,pathway
Biology - Biodiversity and Sustainability,Biology,Biodiversity and Sustainability,Systems Thinking,SCIU9PS,Biological and Environmental Sciences Honours Project Start,4,Autumn,0,compulsory
Biology - Biodiversity and Sustainability,Biology,Biodiversity and Sustainability,Systems Thinking,ENVU9WM,Sustainable Water Management,4,Autumn,3,pathway
Biology - Biodiversity and Sustainability,Biology,Biodiversity and Sustainability,Systems Thinking,SCIU9PR,Biological and Environmental Sciences Honours Project,4,Spring,3,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Systems Thinking,BIOU1IE,Ecology: An Introduction,1,Autumn,0,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Systems Thinking,SCIU1FI,Fundamentals for scientific inquiry,1,Autumn,0,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Systems Thinking,BIOU2PH,Introduction to Physiology,1,Spring,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Systems Thinking,BIOU2CE,"Cells, the building blocks of life",1,Spring,2,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Systems Thinking,BIOU3GE,Evolution and Genetics,2,Autumn,2,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Systems Thinking,SCIU3FB,Practical Field Biology,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Systems Thinking,SCIU3LS,Lab Essentials for Physical and Life Sciences,2,Autumn,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Systems Thinking,BIOU4BD,Biodiversity,2,Spring,0,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Systems Thinking,SCIU4T4,Statistical Techniques,2,Spring,1,compulsory
Biology - Data Analysis and Biostatistics,Biology,Data Analysis and Biostatistics,Systems Thinking,SCIU7SR,Statistics Using R,3,Autumn,3,pathway
